19/09/2016 ;;DEBITO VISA ELECTRON BRASIL 19/09 DROGARIA SAO PA;254180;-88,96;0,00
19/09/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,52;7.933,68
20/09/2016 ;;DEBITO VISA ELECTRON BRASIL 20/09 SUPERMERCADO SU;150680;-9,00;0,00
20/09/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,03;7.924,71
21/09/2016 ;;DEBITO VISA ELECTRON BRASIL 21/09 AUTO POSTO UNIC;474180;-30,00;0,00
21/09/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,13;7.894,84
22/09/2016 ;;DEBITO VISA ELECTRON BRASIL 22/09 MC DONALDS.A.FR;155580;-29,50;0,00
22/09/2016 ;;SAQUE NO ATM INTERAGENCIA;503975;-160,00;0,00
22/09/2016 ;;DEBITO VISA ELECTRON BRASIL 22/09 KOPENHAGEN;111180;-27,50;0,00
22/09/2016 ;;DEBITO VISA ELECTRON BRASIL 22/09 ESTACIONAMENTO.;225380;-8,00;0,00
22/09/2016 ;;DEBITO VISA ELECTRON BRASIL 22/09 SPEEDLAND;471980;-100,00;0,00
22/09/2016 ;;DEBITO VISA ELECTRON BRASIL 23/09 ICON RESTAURANT;502280;-23,20;0,00
22/09/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;1,44;7.548,08
23/09/2016 ;;DEBITO VISA ELECTRON BRASIL 23/09 SUPERMERCADO SU;162280;-4,71;0,00
23/09/2016 ;;DEBITO VISA ELECTRON BRASIL 23/09 ESTACIONAMENTO.;315980;-8,00;0,00
23/09/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,03;7.535,40
26/09/2016 ;;DEBITO VISA ELECTRON BRASIL 24/09 SUPERRCADO GARO;392380;-21,15;0,00
26/09/2016 ;;DEBITO VISA ELECTRON BRASIL 26/09 SAPOPETRO;290180;-30,00;0,00
26/09/2016 ;;DEBITO VISA ELECTRON BRASIL 26/09 SUPERMERCADO JO;575380;-25,24;0,00
26/09/2016 ;;SAQUE NO BANCO 24 HORAS;815321;-250,00;0,00
26/09/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,93;7.209,94
28/09/2016 ;;DEBITO AUT. CONTA AGUA E ESGOTO SABESP;000000;-44,76;0,00
28/09/2016 ;;TAR EXTR CONSOLIDADO INTELIGENTE 23/09/2016;000000;-6,20;0,00
28/09/2016 ;;RECARGA TELEFONE CELULAR IB 11 *****6651 TIM BRASI;000000;-15,00;0,00
28/09/2016 ;;DEBITO VISA ELECTRON BRASIL 28/09 STMARCHE ANALIA;391080;-29,15;0,00
28/09/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,28;7.115,11
29/09/2016 ;;DEBITO VISA ELECTRON BRASIL 29/09 POSTO DE SERVIC;234980;-30,00;0,00
29/09/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,09;7.085,20
03/10/2016 ;;DEBITO VISA ELECTRON BRASIL 01/10 DUTRA SERVS AUT;464280;-80,00;0,00
03/10/2016 ;;DEBITO VISA ELECTRON BRASIL 01/10 PAGSEGUROUOL.Cl;020980;-40,00;0,00
03/10/2016 ;;DEBITO AUTOM EMPRESAS CONVENIADAS ESC. BIO PAULI;000000;-79,90;0,00
03/10/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,65;6.885,95
04/10/2016 ;;DEBITO VISA ELECTRON BRASIL 04/10 POSTO RENOVACAO;243480;-50,00;0,00
04/10/2016 ;;PAGAMENTO CARTAO CREDITO BCE 04/10 13:40 CARTAO VISA;134015;-155,82;0,00
04/10/2016 ;;DEBITO VISA ELECTRON BRASIL 04/10 DROGARIA VIVER;430580;-11,39;0,00
04/10/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,72;6.669,46
06/10/2016 ;;CREDITO DE SALARIO CNPJ 057978850000186;011006;3.662,68;0,00
06/10/2016 ;;RECARGA TELEFONE CELULAR IB 11 *****6651 TIM BRASI;000000;-15,00;10.317,14
10/10/2016 ;;DEBITO VISA ELECTRON BRASIL 08/10 PERTO METRO SAO;382780;-30,00;0,00
10/10/2016 ;;DEBITO VISA ELECTRON BRASIL 08/10 SAINT CHARBEL L;371780;-90,00;0,00
10/10/2016 ;;DEBITO VISA ELECTRON BRASIL 08/10 TIAGO MARTINS C;012780;-10,00;0,00
10/10/2016 ;;DEBITO VISA ELECTRON BRASIL 08/10 SHAOWEI ZHOU;043980;-30,00;0,00
10/10/2016 ;;DEBITO VISA ELECTRON BRASIL 08/10 PASTEL DA PRACA;035580;-36,30;0,00
10/10/2016 ;;DEBITO VISA ELECTRON BRASIL 10/10 SUPERMERCADO SU;515580;-7,49;0,00
10/10/2016 ;;DEBITO VISA ELECTRON BRASIL 10/10 ESTACIONAMENTO.;141980;-8,00;0,00
10/10/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,77;10.106,12
11/10/2016 ;;DEBITO VISA ELECTRON BRASIL 11/10 AUTO POSTO CINC;204780;-50,00;0,00
11/10/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,18;10.056,30
14/10/2016 ;;DEBITO VISA ELECTRON BRASIL 14/10 KOPENHAGEN.TATU;150480;-29,53;0,00
14/10/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,11;10.026,88
17/10/2016 ;;DEBITO VISA ELECTRON BRASIL 15/10 BURGER KING ANA;074080;-66,80;0,00
17/10/2016 ;;DEBITO VISA ELECTRON BRASIL 17/10 CARREFOUR TTE 4;140280;-28,36;0,00
17/10/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,16;9.931,88
18/10/2016 ;;DEBITO VISA ELECTRON BRASIL 18/10 CELINOSILVA;091280;-23,60;0,00
18/10/2016 ;;DEBITO VISA ELECTRON BRASIL 18/10 POSTOS IPIRANGA;505380;-50,00;0,00
18/10/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,13;9.858,41
20/10/2016 ;;RECARGA TELEFONE CELULAR IB 11 *****6651 TIM BRASI;000000;-15,00;0,00
20/10/2016 ;;DEBITO VISA ELECTRON BRASIL 20/10 RICARDO JOAO DE;271380;-15,00;0,00
20/10/2016 ;;DEBITO VISA ELECTRON BRASIL 20/10 ESTACIONAMENTO.;485580;-8,00;0,00
20/10/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,07;9.820,48
21/10/2016 ;;DEBITO VISA ELECTRON BRASIL 21/10 DROGARIA SAO PA;380280;-86,94;0,00
21/10/2016 ;;DEBITO VISA ELECTRON BRASIL 21/10 FOOD MASTER;341680;-11,00;0,00
21/10/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,19;9.722,73
24/10/2016 ;;DEBITO VISA ELECTRON BRASIL 22/10 3730 . GRSA UPP;370280;-27,10;0,00
24/10/2016 ;;DEBITO VISA ELECTRON BRASIL 24/10 POSTO RENOVACAO;295980;-107,06;0,00
24/10/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,28;9.588,85
25/10/2016 ;;DEBITO VISA ELECTRON BRASIL 25/10 DROGARIA SAO PA;161680;-61,65;0,00
25/10/2016 ;;DEBITO VISA ELECTRON BRASIL 25/10 DROGARIA SAO PA;304480;-80,27;0,00
25/10/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,30;9.447,23
26/10/2016 ;;TAR EXTR CONSOLIDADO INTELIGENTE 24/10/2016;000000;-6,20;0,00
26/10/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,01;9.441,04
27/10/2016 ;;DEBITO AUT. CONTA AGUA E ESGOTO SABESP;000000;-44,76;0,00
27/10/2016 ;;DEBITO VISA ELECTRON BRASIL 27/10 JOMAN H LTDA;162980;-69,00;0,00
27/10/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,44;9.327,72
28/10/2016 ;;SAQUE NO BANCO 24 HORAS;037331;-240,00;0,00
28/10/2016 ;;ESTORNO LANCAMENTO VISA ELECTRON 27/10;000000;69,00;0,00
28/10/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,80;9.157,52
31/10/2016 ;;DEBITO VISA ELECTRON BRASIL 31/10;162980;-69,00;0,00
31/10/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,32;9.088,84
01/11/2016 ;;DEBITO AUTOM EMPRESAS CONVENIADAS ESC. BIO PAULI;000000;-79,90;0,00
01/11/2016 ;;DEBITO VISA ELECTRON BRASIL 01/11 ESTAPAR BOURBON;360380;-12,00;0,00
01/11/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,44;8.997,38
03/11/2016 ;;DEBITO VISA ELECTRON BRASIL 03/11 SUPERMERCADO SU;165980;-4,15;0,00
03/11/2016 ;;DEBITO VISA ELECTRON BRASIL 03/11 LANCHETERIA NAD;430580;-34,76;0,00
03/11/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,19;8.958,66
04/11/2016 ;;RECARGA TELEFONE CELULAR IB 11 *****6651 TIM BRASI;000000;-20,00;0,00
04/11/2016 ;;PAGAMENTO CARTAO CREDITO BCE 04/11 13:19 CARTAO VISA;131950;-164,47;0,00
04/11/2016 ;;CREDITO DE SALARIO CNPJ 057978850000186;011104;3.688,84;0,00
04/11/2016 ;;DEBITO VISA ELECTRON BRASIL 04/11 SORVETAO;531480;-10,00;12.453,03
07/11/2016 ;;DEBITO VISA ELECTRON BRASIL 05/11 2033DROGASIL;405280;-13,99;0,00
07/11/2016 ;;DEBITO VISA ELECTRON BRASIL 07/11 POSTO RENOVACAO;135180;-100,00;0,00
07/11/2016 ;;DEBITO VISA ELECTRON BRASIL 07/11 GRAOVITA;012480;-16,80;0,00
07/11/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,67;12.322,91
09/11/2016 ;;DEBITO VISA ELECTRON BRASIL 09/11 ESTACIONAMENTO.;150480;-8,00;0,00
09/11/2016 ;;REMUNERACAO CONTAMAX CDB DI;000000;0,03;12.314,94
14/11/2016 ;;DEBITO VISA ELECTRON BRASIL 14/11 PERTO METRO SAO;310180;-20,00;0,00
14/11/2016 ;;DEBITO VISA ELECTRON BRASIL 14/11 PANDA;574080;-48,40;12.246,54
